Lochner era	Aharon Barak	INLINK	[2011-09-26-05‥2013-03-11-19)
Kahan Commission	Aharon Barak	INLINK	[2011-09-16-16‥2013-03-11-19)
Aharon Barak	Aharon Barak	ORIGINAL	[2011-10-04-03‥2013-03-11-19)
Marriage in Israel	Aharon Barak	INLINK	[2011-09-14-19‥2013-03-11-19)
Israel Academy of Sciences and Humanities	Aharon Barak	INLINK	[2011-09-08-02‥2013-03-11-19)
Yitzhak Rabin	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
William S. Richardson School of Law	Aharon Barak	INLINK	[2012-04-03-23‥2013-03-11-19)
Category:Members of the Israel Academy of Sciences and Humanities	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Kahan Commission	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Judicial discretion	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Category:Hebrew University of Jerusalem faculty	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Battle of Jenin	Aharon Barak	INLINK	[2011-09-09-09‥2013-03-11-19)
United States Court of Appeals for the Seventh Circuit	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Yadlin affair	Aharon Barak	INLINK	[2011-08-22-15‥2013-03-11-19)
Anwar Sadat	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Aharon Brick	Aharon Barak	REDIRECT	[2011-08-24-02‥2013-03-11-19)
Kovno Ghetto	Aharon Barak	INLINK	[2011-09-19-20‥2013-03-11-19)
Category:Harvard University alumni	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Standing (law)	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Reuven Rivlin	Aharon Barak	INLINK	[2011-09-20-23‥2013-03-11-19)
List of Harvard University people	Aharon Barak	INLINK	[2011-10-04-14‥2013-03-11-19)
purposive approach	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Herzliya	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Moshe Landau	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Ruth Gavison	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
A Jewish and Democratic State	Aharon Barak	INLINK	[2011-09-16-13‥2013-03-11-19)
right of standing	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Israel Prize	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Israeli Defense Forces	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Palestine: Peace Not Apartheid	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Category:Interdisciplinary Center faculty	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
United Hamizrahi Bank Ltd. v. Migdal Kfar Shitufi	Aharon Barak	BOLDTEXT	[2011-10-04-03‥2013-03-11-19)
Basic Laws	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
List of people from Kaunas	Aharon Barak	INLINK	[2011-09-10-02‥2013-03-11-19)
200px|thumb|Barak's portrait at Supreme Court of Israel	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Dollar Account affair	Aharon Barak	INLINK	[2011-09-05-03‥2013-03-11-19)
Haredim	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Harvard University	Aharon Barak	INLINK	[2011-10-07-12‥2011-10-16-19), [2011-10-16-19‥2011-11-07-18), [2011-11-07-18‥2011-11-09-16), [2011-11-09-16‥2011-11-14-20), [2011-11-14-20‥2013-03-11-19)
University of Toronto	Aharon Barak	OUTLINK	[2011-10-26-02‥2013-03-11-19)
Katz v. Regional Rabbinical Court	Aharon Barak	BOLDTEXT	[2011-10-04-03‥2013-03-11-19)
Bank of Israel	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Financial Advisor to the Chief of Staff	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Category:Kovno Ghetto inmates	Aharon Barak	CATEGORY	[2011-11-17-23‥2013-03-11-19)
Aaron Barak	Aharon Barak	REDIRECT	[2007-01-18-12‥2013-03-11-19)
State Attorney	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Asher Yadlin	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Israel Academy of Sciences and Humanities	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Dorit Beinisch	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Dollar Account affair	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
University of Toronto Faculty of Law	Aharon Barak	INLINK	[2011-08-29-23‥2013-03-11-19)
Haim Cohn	Aharon Barak	INLINK	[2011-08-06-05‥2013-03-11-19)
Harvard University	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Human rights in Israel	Aharon Barak	INLINK	[2011-09-20-08‥2013-03-11-19)
Israeli Military Censor	Aharon Barak	INLINK	[2011-06-04-23‥2013-03-11-19)
Category:Attorneys General of Israel	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Richard Posner	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Columbia University	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Palestinian territories	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Supreme Court of Israel	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Category:Chief Justices of the Supreme Court of Israel	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Basic Laws of Israel	Aharon Barak	INLINK	[2011-10-07-02‥2013-03-11-19)
Category:University of Toronto Faculty of Law faculty	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Housing and Construction Minister of Israel	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
List of University of Toronto people	Aharon Barak	INLINK	[2011-09-27-16‥2013-03-11-19)
Buzaglo test	Aharon Barak	INLINK	[2011-08-22-15‥2013-03-11-19)
Menachem Begin	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Gruber Prize for Justice	Aharon Barak	INLINK	[2011-07-01-11‥2013-03-11-19)
List of placeholder names by language	Aharon Barak	INLINK	[2011-10-04-12‥2013-03-11-19)
Civil Codex	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Immanuel Beit Yaakov controversy	Aharon Barak	INLINK	[2011-09-25-20‥2013-03-11-19)
Aharon Barak	Aharon Barak	BOLDTEXT	[2011-10-04-03‥2013-03-11-19)
United Nations Fact Finding Mission on the Gaza Conflict	Aharon Barak	INLINK	[2011-10-04-03‥2013-03-11-19)
Ynet	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Georgetown University Law Center	Aharon Barak	OUTLINK	[2012-01-05-11‥2013-03-11-19)
Kaunas	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Hebrew University Secondary School	Aharon Barak	INLINK	[2011-09-12-17‥2013-03-11-19)
Menachem Elon	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Kossoy v. Y.L. Feuchtwanger Bank Ltd.	Aharon Barak	BOLDTEXT	[2011-10-04-03‥2013-03-11-19)
University of Alabama	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Adolf Eichmann	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Eliezer Society	Aharon Barak	INLINK	[2012-01-25-14‥2013-03-11-19)
Nobel prize	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Basic Law	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Knesset	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Ezer Weizmann	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Burke Marshall	Aharon Barak	INLINK	[2011-10-03-05‥2013-03-11-19)
Aharon Barak	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Reasonability	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
thumb|250px|Barak (sitting; left) at a meeting at [[Camp David	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Jimmy Carter	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Halacha	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Interdisciplinary Center Herzliya	Aharon Barak	INLINK	[2011-10-04-18‥2013-03-11-19)
Charles A. Foster	Aharon Barak	INLINK	[2011-08-25-09‥2013-03-11-19)
Kibbutz Hatzor v Assessing Officer	Aharon Barak	BOLDTEXT	[2011-10-04-03‥2013-03-11-19)
Aharon Barak	Aharon Barak	INLINK_ANCHOR	[2007-01-18-12‥2013-03-11-19)
Operation Rainbow (2004)	Aharon Barak	INLINK	[2011-08-04-08‥2013-03-11-19)
American Academy of Arts and Sciences	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Israeli parliament (Knesset)	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Bachelor of Laws	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Israeli parliament	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Interdisciplinary Center	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Clalit Health Services	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Brandeis University	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Category:Israel Prize in law recipients	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Ariel Sharon	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Judicial discretion	Aharon Barak	INLINK	[2010-05-01-01‥2013-03-11-19)
Camp David Accords	Aharon Barak	INLINK	[2011-09-24-08‥2013-03-11-19)
Beit Ur al-Tahta	Aharon Barak	INLINK	[2011-09-23-12‥2013-03-11-19)
Ovadia Yosef	Aharon Barak	INLINK	[2011-10-04-03‥2013-03-11-19)
Attorney General of Israel	Aharon Barak	INLINK	[2011-09-15-13‥2013-03-11-19)
Hebrew University of Jerusalem	Aharon Barak	INLINK	[2011-10-05-17‥2013-03-11-19)
José Faur	Aharon Barak	INLINK	[2011-09-17-16‥2013-03-11-19)
Avraham Ofer	Aharon Barak	INLINK	[2011-09-18-23‥2013-03-11-19)
Haim Yosef Zadok	Aharon Barak	INLINK	[2011-08-06-05‥2013-03-11-19)
Supreme Court of Israel	Aharon Barak	INLINK	[2011-09-15-03‥2013-03-11-19)
Aaron Barak	Aharon Barak	INLINK	[2007-01-18-12‥2013-03-11-19)
Proportionality (law)	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
standing	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Buzaglo test	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Camp David Accords	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Camp David	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Attorney General of Israel	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Hebrew University of Jerusalem	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Israel and the apartheid analogy	Aharon Barak	INLINK	[2011-10-05-09‥2011-11-28-02), [2011-11-28-02‥2011-11-28-02), [2011-11-28-02‥2011-11-28-03), [2011-11-28-03‥2013-03-11-19)
Constitutional Revolution (Israel)	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Ezer Weizman	Aharon Barak	INLINK	[2011-10-04-03‥2013-03-11-19)
Murder of Danny Katz	Aharon Barak	INLINK	[2011-09-23-16‥2013-03-11-19)
Daphna Barak-Erez	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Category:Yale Law School faculty	Aharon Barak	CATEGORY	[2011-10-04-03‥2013-03-11-19)
Citizenship and Entry into Israel Law	Aharon Barak	INLINK	[2010-08-31-13‥2013-03-11-19)
List of Israel Prize recipients	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Dorit Beinisch	Aharon Barak	INLINK	[2011-03-11-12‥2013-03-11-19)
Basic Laws of Israel	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Proportionality	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Basic Law: Human Dignity and Liberty	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Kovno ghetto	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Yale Law School	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Avraham Ofer	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Amnon Rubinstein	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Jerusalem	Aharon Barak	OUTLINK	[2011-10-04-03‥2013-03-11-19)
Israeli legislative election, 1977	Aharon Barak	INLINK	[2011-09-07-13‥2013-03-11-19)
Yale Law School	Aharon Barak	INLINK	[2011-09-15-10‥2013-03-11-19)
Aharon Brick	Aharon Barak	INLINK	[2011-08-24-02‥2013-03-11-19)
Constitutional Revolution	Aharon Barak	OUTLINK_ANCHOR	[2011-10-04-03‥2013-03-11-19)
Eleanor Put Your Boots On	Alex Kapranos	INLINK	[2011-03-12-10‥2013-03-11-19)
Don't You Wanna Be Relevant?	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
Chauffeur	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Men's Needs, Women's Needs, Whatever	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Fender Telecaster Deluxe	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Alex Krapranos	Alex Kapranos	REDIRECT	[2006-07-20-22‥2013-03-11-19)
Writer	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2011-11-05-14)
200px|thumb|Alex Kapranos	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-29-17‥2013-03-11-19)
North East England	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
William Rogue	Alex Kapranos	INLINK	[2011-07-23-16‥2013-03-11-19)
The Karelia	Alex Kapranos	INLINK	[2011-07-22-05‥2013-03-11-19)
Don't You Wanna Be Relevant? / Our Bovine Public	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Almondsbury	Alex Kapranos	INLINK	[2011-09-12-05‥2013-03-11-19)
Al Kapranos	Alex Kapranos	INLINK_ANCHOR	[2011-10-07-13‥2013-03-11-19)
200px	Alex Kapranos	OUTLINK_ANCHOR	[2011-11-27-16‥2011-11-27-16), [2011-11-27-16‥2011-11-28-09)
Anniesland College	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Urusei Yatsura (band)	Alex Kapranos	INLINK	[2011-09-20-03‥2013-03-11-19)
List of Greek artists	Alex Kapranos	INLINK	[2011-09-24-00‥2013-03-11-19)
Duffle coat	Alex Kapranos	INLINK	[2011-09-08-22‥2013-03-11-19)
The Yummy Fur	Alex Kapranos	INLINK	[2011-07-20-22‥2013-03-11-19)
Little Boots	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Franz Ferdinand (album)	Alex Kapranos	INLINK	[2011-08-14-15‥2013-03-11-19)
New in Town	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
List of guitarists	Alex Kapranos	INLINK	[2011-10-06-10‥2013-03-11-19)
Andy Knowles	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Sound Bites: Eating on Tour with Franz Ferdinand	Alex Kapranos	INLINK	[2010-05-15-16‥2013-03-11-19)
Boom Bip	Alex Kapranos	INLINK	[2011-09-27-08‥2013-03-11-19)
1990s (band)	Alex Kapranos	INLINK	[2011-08-07-13‥2013-03-11-19)
lead singer	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
Don't Stop (Annie album)	Alex Kapranos	INLINK	[2011-07-02-16‥2013-03-11-19)
Almondsbury	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Alex Kapranas	Alex Kapranos	REDIRECT	[2006-06-30-18‥2013-03-11-19)
Kraftwerk	Alex Kapranos	INLINK	[2011-10-06-14‥2013-03-11-19)
Sunderland, Tyne and Wear	Alex Kapranos	INLINK	[2011-09-23-19‥2013-03-11-19)
Ulysses (song)	Alex Kapranos	INLINK	[2011-07-12-17‥2013-03-11-19)
White People	Alex Kapranos	INLINK	[2011-07-16-05‥2013-03-11-19)
North East	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
England	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
University of Aberdeen	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Fender Wide Range	Alex Kapranos	INLINK	[2011-09-30-19‥2013-03-11-19)
Alexander Kapranos	Alex Kapranos	INLINK	[2005-10-15-09‥2013-03-11-19)
Bloc Party	Alex Kapranos	INLINK	[2011-09-29-15‥2013-03-11-19)
Eleanor Friedberger	Alex Kapranos	INLINK	[2011-07-27-14‥2013-03-11-19)
Category:People educated at Bearsden Academy	Alex Kapranos	CATEGORY	[2011-10-03-10‥2013-03-11-19)
A Life in the Death of Joe Meek	Alex Kapranos	INLINK	[2011-09-14-23‥2013-03-11-19)
Vocals	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Nick McCarthy	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
Alex Kapranos	Alex Kapranos	ORIGINAL	[2011-10-03-10‥2013-03-11-19)
List of people from Gloucestershire	Alex Kapranos	INLINK	[2011-12-12-07‥2013-03-11-19)
The Guardian	Alex Kapranos	INLINK	[2011-10-05-16‥2013-03-11-19)
The Dark of the Matinée	Alex Kapranos	INLINK	[2011-09-02-01‥2013-03-11-19)
Men's Needs, Women's Needs, Whatever	Alex Kapranos	INLINK	[2011-08-15-15‥2013-03-11-19)
Category:British rock guitarists	Alex Kapranos	CATEGORY	[2012-01-07-18‥2013-03-11-19)
John Disco	Alex Kapranos	INLINK	[2011-07-31-16‥2013-03-11-19)
Category:People from South Gloucestershire (district)	Alex Kapranos	CATEGORY	[2011-10-03-10‥2013-03-11-19)
Category:Living people	Alex Kapranos	CATEGORY	[2011-10-03-10‥2013-03-11-19)
Wake Me Up	Alex Kapranos	INLINK	[2011-09-11-06‥2013-03-11-19)
The Karelia	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
List of lead vocalists	Alex Kapranos	INLINK	[2011-10-04-11‥2013-03-11-19)
Dennistoun	Alex Kapranos	INLINK	[2011-10-05-12‥2013-03-11-19)
Paul Thomson	Alex Kapranos	INLINK	[2011-08-14-08‥2013-03-11-19)
No You Girls	Alex Kapranos	INLINK	[2011-05-29-09‥2013-03-11-19)
Spin (magazine)	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Don't You Wanna Be Relevant? / Our Bovine Public	Alex Kapranos	INLINK	[2011-03-11-19‥2013-03-11-19)
250px|thumb|Alex Kapranos performing with Franz Ferdinand	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
Swallow, Smile	Alex Kapranos	INLINK	[2011-04-15-04‥2013-03-11-19)
Scarlet's Well	Alex Kapranos	INLINK	[2011-07-22-15‥2013-03-11-19)
Post-punk revival	Alex Kapranos	OUTLINK	[2011-10-03-10‥2011-11-05-14)
Nicholas McCarthy	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Glasgow	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Alex Huntley a.k.a. Alex Kapranos	Alex Kapranos	INLINK_ANCHOR	[2011-10-02-15‥2013-03-11-19)
Urusei Yatsura (band)	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Greek	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2011-11-27-21)
Ross Jarman	Alex Kapranos	INLINK	[2011-09-26-17‥2013-03-11-19)
Alex Krapranos	Alex Kapranos	INLINK	[2006-07-20-22‥2013-03-11-19)
Category:British singer-songwriters	Alex Kapranos	CATEGORY	[2012-01-07-18‥2013-03-11-19)
Kapranos, Alex	Alex Kapranos	INLINK_ANCHOR	[2011-08-11-20‥2013-03-11-19)
BRIT Awards	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Greek diaspora	Alex Kapranos	INLINK	[2011-10-05-04‥2013-03-11-19)
Domino Records	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Bands and musicians from Yorkshire and North East England	Alex Kapranos	INLINK	[2011-09-30-20‥2013-03-11-19)
The Yummy Fur	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2012-04-18-15)
Franz Ferdinand (album)	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
SPIN	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
Chew Lips	Alex Kapranos	INLINK	[2011-08-11-01‥2013-03-11-19)
Tonight: Franz Ferdinand	Alex Kapranos	INLINK	[2011-08-12-00‥2013-03-11-19)
You Could Have It So Much Better	Alex Kapranos	INLINK	[2011-08-12-12‥2013-03-11-19)
Blood: Franz Ferdinand	Alex Kapranos	INLINK	[2011-09-14-13‥2013-03-11-19)
Guitarist	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
The Mind's Construction Quarterly	Alex Kapranos	INLINK	[2010-11-22-08‥2013-03-11-19)
Losing Sleep (Edwyn Collins album)	Alex Kapranos	INLINK	[2011-06-27-22‥2013-03-11-19)
List of bands from Newcastle, United Kingdom	Alex Kapranos	INLINK	[2011-10-03-15‥2013-03-11-19)
Alternative rock	Alex Kapranos	INLINK	[2011-10-06-21‥2013-03-11-19)
BBC Scotland	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
A Band Called Quinn	Alex Kapranos	INLINK	[2011-07-20-09‥2013-03-11-19)
This Fire (song)	Alex Kapranos	INLINK	[2011-09-13-12‥2013-03-11-19)
KCWU	Alex Kapranos	INLINK	[2011-06-08-10‥2013-03-11-19)
Nick McCarthy	Alex Kapranos	INLINK	[2011-08-14-08‥2013-03-11-19)
Handsome Boy Modeling School	Alex Kapranos	INLINK	[2011-09-24-04‥2013-03-11-19)
Category:Ivor Novello Award winners	Alex Kapranos	CATEGORY	[2011-10-03-10‥2013-03-11-19)
Guitar	Alex Kapranos	OUTLINK	[2011-10-03-10‥2011-11-05-14)
Domino	Alex Kapranos	OUTLINK_ANCHOR	[2011-11-05-14‥2013-03-11-19)
The 13th Note Café	Alex Kapranos	INLINK	[2011-03-01-04‥2013-03-11-19)
Do You Want To	Alex Kapranos	INLINK	[2011-04-30-06‥2013-03-11-19)
BBC Radio 4	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Seven Ages of Rock	Alex Kapranos	INLINK	[2011-09-11-20‥2013-03-11-19)
Alexander Paul Kapranos Huntley	Alex Kapranos	BOLDTEXT	[2011-10-03-10‥2013-03-11-19)
University of Strathclyde	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Category:Alumni of the University of Aberdeen	Alex Kapranos	CATEGORY	[2011-10-03-10‥2013-03-11-19)
Hands (Little Boots album)	Alex Kapranos	INLINK	[2011-10-07-13‥2013-03-11-19)
Robert Hardy (bassist)	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
UK	Alex Kapranos	OUTLINK_ANCHOR	[2011-10-03-10‥2013-03-11-19)
Alex Kapranos	Alex Kapranos	INLINK_ANCHOR	[2005-10-15-09‥2013-03-11-19)
Bearsden Academy	Alex Kapranos	INLINK	[2011-07-16-14‥2013-03-11-19)
Indie pop	Alex Kapranos	OUTLINK	[2011-10-03-10‥2011-11-05-14)
Edinburgh	Alex Kapranos	OUTLINK	[2011-10-03-10‥2013-03-11-19)
Edwyn Collins	Alex Kapranos	INLINK	[2011-10-03-08‥2013-03-11-19)
